Country Name,Country Code,Indicator Name,Indicator Code,Year,electricityaccesspercent
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,97.6662385013858
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,97.9622148306278
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,97.5624798493641
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,97.6460019069744
East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,97.4175047912577
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,98.523492633946
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,98.1445791095986
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,98.2554880270959
East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,98.0509929430853
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,100.0
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,100.0
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,100.0
Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,100.0
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.9875907723602
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.9754553964993
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.9502894601841
Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.9710153030454
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.9713962391982
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.9434990046805
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.8849623924041
Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.9415406427347
Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.975168398878
Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.9508254604937
Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.9003748457134
Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.9418556446677
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.9969239357583
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.9951476443481
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.9874478132819
European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.9718374179182
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,57.8518873169818
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,56.3466427197104
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,55.5003551094614
Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,54.5866438723999
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,48.0484301640399
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,46.3716491188789
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,45.0546163791218
Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,44.0275874468351
High income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
High income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
High income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.9783387728518
High income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.9781239260108
High income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.9726380900981
High income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.9660775959108
IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.103230620255
IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,98.0590298189955
IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,97.8735609216093
IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,97.752820576444
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,90.0980679028731
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,88.9964645455227
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,88.6543981697349
IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,88.2966013672623
IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,76.6197483450773
IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,74.6115929885099
IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,74.0936249825621
IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,73.3779467662156
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,60.1276335849256
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,58.6110077802959
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,57.0978623380197
IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,55.3283640204087
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,65.5844063263883
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,63.9126148472329
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,62.7388623353688
IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,61.331022920693
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.413293477857
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.3928615347502
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.3347587195196
Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.2874837036278
Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,98.2593156525575
Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,98.157889337856
Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,98.0048343535344
Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,97.7599123737604
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,98.1208708302275
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,98.010618597904
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,97.8545771876564
Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,97.5798249404219
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,98.2163099262589
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,98.1131138091714
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,97.9584163764089
Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,97.7102589416012
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,56.2191633716595
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,54.5651341372829
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,52.9555877488484
Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,51.1795653644584
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,89.8014797074553
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,88.6753325586946
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,88.3180971874084
Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,87.9431658956512
Low income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Low income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Low income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,44.8097550185129
Low income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,43.2232496613728
Low income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,41.8414437475104
Low income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,40.4953093607689
Lower middle income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Lower middle income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Lower middle income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,91.1284906964302
Lower middle income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,89.0889116933585
Lower middle income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,88.3588462262185
Lower middle income,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,87.7101231361847
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,97.2901454351418
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,97.2299187345237
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,97.1296939736104
Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,96.1494330838181
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,96.8485307456121
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,96.7723312907715
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,96.6493667443399
Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,95.5144196886912
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,96.8109781581401
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,96.7342401361315
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,96.6101761371236
Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,95.4623763137485
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,94.9989872089771
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,93.8306110477114
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,93.4939156732194
Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,93.1341632810462
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,100.0
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,100.0
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,100.0
North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,100.0
Not classified,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Not classified,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Not classified,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,
Not classified,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,
Not classified,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,
Not classified,,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,
OECD members,OED,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
OECD members,OED,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
OECD members,OED,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.9999664807015
OECD members,OED,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.9340746792097
OECD members,OED,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.9417041579627
OECD members,OED,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.8985600021283
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,79.4317137857328
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,78.3031071810845
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,77.5806029869783
Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,76.7381651847628
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,85.8698068779362
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,86.4295282485359
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,84.586390264391
Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,82.9409682652389
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,99.998768058668
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,99.9974571570541
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,99.9929230772724
Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,99.9822810174663
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,50.5270527024391
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,48.3825862808549
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,47.5750561263581
Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,47.0815597347205
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,83.229217264666
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,82.369255441152
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,81.6216512223259
Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,80.8243125668737
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,98.7680724274461
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,96.1949614877889
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,95.3123071601405
South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,94.6197220693194
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,98.7680724274461
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,96.1949614877889
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,95.3123071601405
South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,94.6197220693194
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,50.5814838112373
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,48.4818374456068
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,47.1325208509251
Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,46.3447394576434
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,50.5773306204726
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,48.4774311171018
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,47.1279186117719
Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,46.3399864080724
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2023,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,50.5814838112373
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,48.4818374456068
Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,47.132520850925
